study_id,title,authors,year,venue,doi_or_url,publication_type,peer_reviewed,formal_corpus_role,transportation_scope,task_stage,learned_component,road_context,agent_types,input_modalities,output_object,risk_sources,shift_construction,shift_realism,shift_detectable,safety_consequence,signal_risk_relation_level,monitoring_horizon,risk_label_source,method_category,uncertainty_output,uncertainty_type,uncertainty_provenance,risk_definition,loss_function,calibration_target,decision_relevance_primary,decision_mechanisms,operational_threshold,feedback_availability,guarantee_target,statistical_guarantee_type,statistical_guarantee_strength,formal_control_guarantee,guarantee_scope,guarantee_violation_tested,under_shift_validity,claim_status,intervention_primary,intervention_secondary,trigger_rule,fallback_policy,intervention_cost,online_latency,transportation_impact,datasets_simulator,predictive_metrics,calibration_metrics,safety_metrics,utility_metrics,boundary_decision
REC-082EA594CC67,Partially Observable Markov Decision Processes in Robotics: A Survey,"Lauri, Mikko; Hsu, David; Pajarinen, Joni",2023,IEEE TRANSACTIONS ON ROBOTICS,10.1109/tro.2022.3200138,Article,yes,contextual,vehicle-pedestrian; traffic-system; mobile-robot-or-general-robotics; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy,intersection,vehicle; pedestrian; robot; heterogeneous,state,NR:output object not explicit,environmental_shift; weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,reward-or-cost,probabilistic_model,distribution,unspecified,model-output-score,"This is a survey paper (a prior review) covering the application of POMDP planning to robotics across six categories, including autonomous driving (Section IV-B, PDF_PAGE 9). The paper reviews existing work and the POMDP framework's general interface—belief states as probability distributions over hidden system states—rather than presenting a single specific uncertainty/risk signal that is ACTUALLY consumed by a planner/decision-maker and evaluated for safety/task consequences. Per the screening criteria, ""prior re",reported,NA:no explicit calibration target,none,none,NA:no runtime intervention,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION; HighD,accuracy/AUROC,NA:no calibration metrics,intervention/failure,efficiency/travel-time; reward/return,contextual
REC-0A5B6962EB3F,Pedestrian Collision Avoidance System for Scenarios with Occlusions,Markus Schraner; Maxime Bouton; Mykel J. Kochenderfer; Daniel Watzenig,2019,2019 IEEE Intelligent Vehicles Symposium (IV),10.1109/ivs.2019.8814076,IEEE Conferences,yes,contextual,vehicle-pedestrian; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,predictor,urban,vehicle; pedestrian; heterogeneous,state,action,weather_or_visibility; sensor_or_perception_error,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,TTC; reward-or-cost,formal_or_reachability_bound,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"POMDP belief and AEB collision risk directly change driving actions and have road-scenario safety evaluation, but the belief, transition, prediction and threshold logic are hand-specified rather than learned.",reported,collision,constraint-or-cost,discrete-trigger,reported,NR:feedback timing not reported,collision-risk,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,fixed-or-conditioned-threshold; see intervention evidence,emergency braking/stop,reported,NR:end-to-end online latency not reported,reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,collision; TTC/min-distance,efficiency/travel-time; comfort,contextual
REC-0AE457EC30BF,Long-term safe reinforcement learning with binary feedback,Akifumi Wachi; Wataru Hashimoto; Kazumune Hashimoto,2024,Proceedings of the Thirty-Eighth AAAI Conference on Artificial Intelligence and Thirty-Sixth Conference on Innovative Applications of Artificial Intelligence and Fourteenth Symposium on Educational Advances in Artificial Intelligence,10.1609/aaai.v38i19.30164,Conference Paper,yes,contextual,road-autonomous-driving,control-interface; policy-learning,policy,NR:road context not specified,vehicle; robot; heterogeneous,NR:input modality not reported in extracted evidence,safety-constraint,weather_or_visibility; epistemic_uncertainty,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,constraint-violation; unsafe-control,qualitative-narrative,NR:actionable monitoring horizon not reported,constraint-violation; reward-or-cost,formal_or_reachability_bound; probabilistic_model,NR:uncertainty output not explicitly reported,epistemic,not-applicable,"Binary safety feedback (safe/unsafe) modeled via a GLM with logistic link, producing a pessimistic lower bound ℓ(s,a) on the true safety predictor f⋆(s,a) — an epistemic-uncertainty-aware safety estimate (PDF_PAGE 3–4, Assumption 1; PDF_PAGE 5, Eq. 9). (b) Changes",reported,constraint,constraint-or-cost,cost-or-objective,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,uncertainty_conditioned_policy,none,fixed-or-conditioned-threshold; see intervention evidence,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,accuracy/AUROC,NA:no calibration metrics,constraint-violation,reward/return,contextual
REC-15CF4A976397,Online and Predictive Warning System for Forced Lane Changes Using Risk Maps,T. Puphal; B. Flade; M. Probst; V. Willert; J. Adamy; J. Eggert,2022,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2021.3091188,IEEE Journals,yes,contextual,vehicle-pedestrian; vehicle-vehicle; road-autonomous-driving,perception-interface; behavior-prediction; motion-forecasting; planning; control-interface,world-model,highway; intersection,vehicle; pedestrian; cyclist; robot; heterogeneous,image,action; warning-or-alarm,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,yes,collision,learned-correlation,reported,NR:risk label source not explicitly reported,probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"Survival-analysis Risk Maps are consumed by a planner and alter lane/speed recommendations, but the risk/prediction/planning component is prescribed rather than learned; learned YOLO perception alone does not satisfy the frozen core rule.",NR:risk or safety loss not explicitly reported,trajectory; collision,constraint-or-cost,none,NR:operational threshold not reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,warning_only,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,comfort,contextual
REC-15D1BC44F7B3,Review of Computational Techniques for Modelling Eco-Safe Driving Behavior,"Jain, Neetika; Mittal, Sangeeta",2023,International Journal of Automotive and Mechanical Engineering,10.15282/ijame.20.2.2023.08.0806,Review,yes,contextual,vehicle-pedestrian; traffic-system; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,parking,vehicle; pedestrian; heterogeneous,image; V2X,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,collision,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The paper does not present a novel uncertainty/risk signal — it reviews and catalogs driving behavior attributes (e.g., harsh acceleration/deceleration, overspeed, sharp turns) and computational models (shallow ML, deep learning, game theory) from the existing literature.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,none,none,reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,reported at PDF p. 4: real-time driving modelling. Table 2 s,reported,INTERACTION; NGSIM,accuracy/AUROC,sharpness/set-size,NR:safety metrics not extracted,efficiency/travel-time; comfort,contextual
REC-176B8DE53EC0,Runtime Monitoring and Fault Detection for Neural Network-Controlled Systems,"Lan, Jianglin; Zhan, Siyuan; Patton, Ron; Zhao, Xianxian",2024,IFAC-PapersOnLine,10.1016/j.ifacol.2024.07.227,Conference paper,yes,contextual,road-autonomous-driving,perception-interface; risk-monitoring; control-interface,NA:no learned component clearly identified,urban; intersection,vehicle; robot; vessel; heterogeneous,state; image; V2X,NR:output object not explicit,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,NR:safety consequence not explicitly operationalized,qualitative-narrative,NR:actionable monitoring horizon not reported,NR:risk label source not explicitly reported,formal_or_reachability_bound,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal is a robust interval bound on the neural-network controller and vehicle states/outputs, used to flag actuator, sensor, and communication-data faults during runtime. In the road ACC simulation, the monitor detects violations of interval-containment conditions, but it does not change the NN controller, planning constraints, candidate selection, or vehicle action; the conclusion explicitly leaves remedial actions as future work. Safety/task evaluation consists of ACC car-following with a defined safe headwa",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,monitoring-only,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,warning_only,continuous constraint-or-cost,NR:fallback policy not reported,NR:intervention cost not reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,accuracy/AUROC,sharpness/set-size,NR:safety metrics not extracted,NR:utility metrics not extracted,contextual
REC-1885100AF364,Gaussian Process Based Model Predictive Control for Overtaking in Autonomous Driving,"Liu, Wenjun; Liu, Chang; Chen, Guang; Knoll, Alois",2021,FRONTIERS IN NEUROROBOTICS,10.3389/fnbot.2021.723049,Article,yes,contextual,road-autonomous-driving,planning; control-interface,uncertainty-estimator,parking,vehicle; cyclist; robot; vessel; heterogeneous,NR:input modality not reported in extracted evidence,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; infeasible-planning,empirical-validated,reported,planning-infeasibility,formal_or_reachability_bound,variance,unspecified,model-output-score,"Gaussian-process model-mismatch estimates and posterior variance change MPC overtaking actions, but the uncertainty output is propagated without empirical calibration or coverage validation.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,NR:feedback timing not reported,set-coverage,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,mpc_filter,none,continuous constraint-or-cost,NR:fallback policy not reported,NR:intervention cost not reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,Shifts,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,reward/return,contextual
REC-1B3C8BA03BF5,An Efficient Reachability-Based Framework for Provably Safe Autonomous Navigation in Unknown Environments,"Bajcsy, Andrea; Bansal, Somil; Bronstein, Eli; Tolani, Varun; Tomlin, Claire J.",2019,Proceedings of the IEEE Conference on Decision and Control,10.1109/cdc40024.2019.9030133,Conference paper,yes,contextual,vehicle-vehicle; road-autonomous-driving,perception-interface; planning; control-interface; policy-learning,policy,urban,vehicle; robot; heterogeneous,state; image; LiDAR,NR:output object not explicit,weather_or_visibility,online temporal change,natural; synthetic,no,collision; constraint-violation,learned-correlation,NR:actionable monitoring horizon not reported,constraint-violation,formal_or_reachability_bound,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The risk/uncertainty signal is the backward reachable set (BRS) / safe set computed via Hamilton-Jacobi reachability analysis. This BRS defines the set of states from which the vehicle cannot avoid entering the unsafe region despite best control effort; its complement is the safe set. The associated least-restrictive safety controller (Eq. 9, pp. 4–5) provides the intervention signal.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,discrete-trigger; filter-or-revision,NR:operational threshold not reported,delayed observed outcome,safe-set-invariance,none,G0,reachability,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,replanning,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time,contextual
REC-1B634123421E,"Risk perception and quantitative assessment for intelligent vehicles: a systematic review of methodologies, policy implications, and transportation systems integration","Xiao, Daiquan; Liu, Yuan; Xu, Xuecai; Šarić, Željko",2026,Digital Transportation and Safety,10.48130/dts-0026-0011,Review,yes,contextual,vehicle-pedestrian; vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,NA:no learned component clearly identified,urban; intersection,vehicle; pedestrian; vessel; heterogeneous,image; LiDAR; radar; V2X,action; warning-or-alarm,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,NR:actionable monitoring horizon not reported,TTC,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"The signal: This is a systematic review/survey paper — it presents no novel uncertainty or risk signal. Instead, it taxonomizes and synthesizes existing work across four dimensions (risk architecture, risk identification/prediction, quantitative risk evaluation, risk decision-making) and discusses policy implications and ethical trade-offs.",NR:risk or safety loss not explicitly reported,trajectory; collision,none,none,NA:no runtime intervention,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,CARLA; SUMO; INTERACTION; NGSIM,accuracy/AUROC,NA:no calibration metrics,TTC/min-distance,efficiency/travel-time; comfort,contextual
REC-1C01087E366D,Socially-Compatible Behavior Design of Autonomous Vehicles With Verification on Real Human Data,"Wang, Letian; Sun, Liting; Tomizuka, Masayoshi; Zhan, Wei",2021,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/lra.2021.3061350,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; behavior-prediction; planning; control-interface; policy-learning,policy; uncertainty-estimator,intersection,vehicle; pedestrian; robot; vessel; heterogeneous,trajectory,candidate-plan; action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,reward-or-cost,generative_or_diffusion; deterministic_confidence,score,unspecified,model-output-score,"The signal is behavior-prediction uncertainty represented by the other vehicle’s action distribution and a confidence score (the gap between its two most probable responses). It is explicitly consumed by the UAPP planner as a confidence reward, changing ranked candidate trajectories and resulting speed/braking actions. Road-interaction simulations evaluate task/safety-related consequences using relative distance and interaction time, reporting confidence-driven behavior as more dangerous; real roundabout data also",reported,NA:no explicit calibration target,constraint-or-cost,cost-or-objective,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,reported,INTERACTION,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; comfort; reward/return,contextual
REC-1D39C2058D0E,Fluid-inspired field representation for risk assessment in road scenes,"Li, Xuanpeng; Zhu, Lifeng; Xue, Qifan; Wang, Dong; Zhang, Yongjie Jessica",2020,COMPUTATIONAL VISUAL MEDIA,10.1007/s41095-020-0190-8,Article,yes,contextual,vehicle-pedestrian; vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; behavior-prediction; motion-forecasting; planning; control-interface; policy-learning,policy,urban; intersection,vehicle; pedestrian; cyclist; robot; heterogeneous,image; LiDAR; radar,warning-or-alarm,weather_or_visibility; sensor_or_perception_error,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,TTC,generative_or_diffusion; probabilistic_model,NR:uncertainty output not explicitly reported,unspecified,not-applicable,The signal is a fluid-inspired risk field (density map computed from tracked-object state spaces via advection and diffusion processes).,NR:risk or safety loss not explicitly reported,trajectory; collision,monitoring-only,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,monitoring_only,warning_only,continuous constraint-or-cost,emergency braking/stop,NR:intervention cost not reported,NR:end-to-end online latency not reported,reported,KITTI; INTERACTION,NR:predictive metrics not extracted,NA:no calibration metrics,TTC/min-distance,NR:utility metrics not extracted,contextual
REC-1D725BDAB411,Influencing Factors of Driving Decision-Making Under the Moral Dilemma,S. Li; J. Zhang; P. Li; Y. Wang; Q. Wang,2019,IEEE Access,10.1109/access.2019.2932043,IEEE Journals,yes,contextual,vehicle-pedestrian; road-autonomous-driving,perception-interface; control-interface; policy-learning,NA:no learned component clearly identified,highway,vehicle; pedestrian; robot; vessel; heterogeneous,NR:input modality not reported in extracted evidence,action,weather_or_visibility; sensor_or_perception_error,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,empirical-validated,NR:actionable monitoring horizon not reported,collision,deterministic_confidence,variance,unspecified,model-output-score,"The signals are ethical/legal dilemma factors—collision-target type and quantity, right of way, and inferred accident liability—quantified from a VR driving-simulator study. These factors are associated with participants’ braking/steering collision choices and are proposed as inputs to a future AV moral algorithm, but the paper does not implement or evaluate a learned prediction, planning, policy, or learned risk/uncertainty component that consumes the signal at runtime. Safety/task evidence consists of simulated c",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,NR:trigger rule not explicitly reported,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,NR:transportation-system impact not reported,NR:dataset or simulator not extracted,NR:predictive metrics not extracted,NA:no calibration metrics,NR:safety metrics not extracted,efficiency/travel-time; comfort,contextual
REC-21321C5E86FF,Joint Out-of-Distribution Detection and Uncertainty Estimation for Trajectory Prediction,"Wiederer, Julian; Schmidt, Julian; Kressel, Ulrich; Dietmayer, Klaus; Belagiannis, Vasileios",2023,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros55552.2023.10341616,Conference paper,yes,contextual,vehicle-vehicle; traffic scene,motion forecasting,trajectory predictor reliability heads,urban; mixed,vehicle,state; trajectory; map features,OOD score; predicted log(wADE),cross_city_or_domain; behavior_shift; epistemic_uncertainty; model_misspecification,Shifts ID/OOD domain split,natural,yes,large trajectory prediction error; no action consequence,qualitative-narrative,prediction horizon inherited from HiVT/Shifts; runtime warning lead not evaluated,realized wADE and dataset domain,failure_prediction; probabilistic_model,GMM NLL; predicted log error,epistemic/total,hybrid:learned-parametric+model-output-score,scene OOD and expected trajectory error are distinct reliability signals,NR:risk or safety loss not explicitly reported,none,none,none,NA:no intervention threshold,realized trajectories available with delay; not used online,none,none,G0,none,scene OOD and trajectory error,yes:OOD/error tests,no guarantee,not-applicable,no_intervention,none,NA,NA,NA,about 0.14 ms extra,none,Shifts,ADE/FDE; wADE retention AUC; OOD AUROC,none,none,latency,contextual
REC-2454AE469195,"The Application of Driver Models in the Safety Assessment of Autonomous Vehicles: Perspectives, Insights, Prospects",C. Wang; F. Guo; R. Yu; L. Wang; Y. Zhang,2024,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2023.3333796,IEEE Journals,yes,contextual,vehicle-vehicle; traffic-system; road-autonomous-driving,perception-interface; planning; control-interface,NA:no learned component clearly identified,NR:road context not specified,vehicle,NR:input modality not reported in extracted evidence,action,weather_or_visibility,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision; infeasible-planning,qualitative-narrative,NR:actionable monitoring horizon not reported,collision; TTC; planning-infeasibility,post_hoc_calibration; probabilistic_model,interval; distribution,unspecified,model-output-score,"The paper surveys risk perception metrics (TTC, TTB, inverse tau, fuzzy safety metrics) used in driver models to trigger braking or steering maneuvers, as well as reference driver models (Japanese driver model, RSS, FSM, NIEON) that incorporate risk-awareness thresholds. However, these signals are used to model human driver behavior for simulation-based testing or to define reference benchmarks — they are not uncertainty/risk signals consumed by an AV's own runtime planner.",NR:risk or safety loss not explicitly reported,NA:no explicit calibration target,none,discrete-trigger,reported,NR:feedback timing not reported,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,no_intervention,none,NA:no runtime intervention,NA:no runtime intervention,reported,NR:end-to-end online latency not reported,reported,Waymo; INTERACTION; HighD,accuracy/AUROC,ECE,TTC/min-distance,comfort,contextual
REC-278C14063EAD,Physics enhanced residual policy learning (PERPL) for safety cruising in mixed traffic platooning under actuator and communication delay,"Long, Keke; Shi, Haotian; Liang, Shixiao; Li, Xiaopeng",2026,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2026.105792,Article,yes,contextual,traffic-system; road-autonomous-driving,control-interface; policy-learning,policy; uncertainty-estimator,highway; mixed,vehicle,V2X,action; safety-constraint,environmental_shift; cross_city_or_domain; weather_or_visibility; communication_delay_or_loss,online temporal change,natural,no,collision; unsafe-control,empirical-validated,NR:actionable monitoring horizon not reported,reward-or-cost,deterministic_confidence,NR:uncertainty output not explicitly reported,unspecified,not-applicable,"A learned PPO residual policy is filtered by a runtime safe-headway barrier that changes acceleration and prevents collisions, but the barrier/risk signal is fixed and has no statistical risk calibration.",reported,NA:no explicit calibration target,constraint-or-cost,none,NR:operational threshold not reported,delayed observed outcome,NA:no explicit guarantee target,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,trajectory_modification,none,continuous constraint-or-cost,NR:fallback policy not reported,reported,NR:end-to-end online latency not reported,reported,NGSIM,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,comfort,contextual
REC-27A50BC81C4A,Safe Speed Control and Collision Probability Estimation Under Ego-Pose Uncertainty for Autonomous Vehicle,V. Kibalov; O. Shipitko,2020,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),10.1109/itsc45102.2020.9294531,IEEE Conferences,yes,contextual,traffic-system; road-autonomous-driving,perception-interface; motion-forecasting; planning; control-interface; policy-learning,NA:no learned component clearly identified,urban; intersection,vehicle; vessel; heterogeneous,state; image,risk-score,environmental_shift,NA:no explicit distribution-shift construction,NA:no explicit distribution-shift evaluation,no,collision,qualitative-narrative,reported,NR:risk label source not explicitly reported,probabilistic_model,distribution; probability,unspecified,model-output-score,"The runtime signal is collision probability computed from a probabilistic ego-pose particle distribution, predicted vehicle trajectories, and static/dynamic obstacle intersections. It directly changes action: the system selects a maximum safe speed and slows or stops the vehicle when predicted collision probability exceeds its threshold. Road-relevant real-vehicle experiments evaluate speed reduction near walls, narrow openings, turns, and collision avoidance. However, the full text describes model-based dynamics,",NR:risk or safety loss not explicitly reported,trajectory; collision,constraint-or-cost,discrete-trigger,reported,NR:feedback timing not reported,collision-risk,none,G0,none,NA:no statistical guarantee,NA:no statistical guarantee,NA:no statistical guarantee,not-applicable,speed_reduction,uncertainty_conditioned_policy,chance-constraint,NR:fallback policy not reported,NR:intervention cost not reported,NR:end-to-end online latency not reported,reported,NR:dataset or simulator not extracted,accuracy/AUROC,NA:no calibration metrics,NR:safety metrics not extracted,comfort,contextual
